claim_id	section	claim_as_written	verdict	refs	action	note
C01	1. What the protein is	IP3R is the ER's ligand-gated Ca2+-release channel; PLC cleaves PIP2 to IP3, IP3 binds the N-terminal core, the channel opens and releases Ca2+ from the ER	verified	R01;R02;R03;R05;R06;R07	keep as [lit-verified]	Streb 1983 established IP3-evoked release from a non-mitochondrial store; Furuichi 1989 cloned the receptor; Ferris 1989 showed the purified receptor alone conducts Ca2+; Bosanac 2002 solved the N-terminal IP3-binding core with ligand bound, and Bosanac 2005 [R06] the suppressor domain that tunes its affinity.
C02	1. What the protein is	It is the origin of most agonist-evoked cytosolic Ca2+ signals in non-muscle cells - puffs, oscillations and waves	verified_qualified	R07;R08	keep, mark as review-level generalisation	The elementary event (puff) and the oscillation/wave hierarchy are established (Yao 1995; Berridge 1993). "Most ... in non-muscle cells" is a review-level generalisation, not a measured fraction; it is not quantified anywhere and must not be quoted as a number.
C03	1. What the protein is	IP3R mediates ER-to-mitochondrion Ca2+ transfer at MAM contact sites, setting the threshold for apoptosis	verified	R09;R10;R11;R12	keep as [lit-verified]	Rizzuto 1998 showed close ER-mitochondria contacts determine mitochondrial Ca2+ responses; Csordas 2006 measured the linkage; Pinton 2008 reviews the apoptotic threshold; Bartok 2019 shows the three IP3R isoforms differ in this role - relevant to S17/S22.
C04	1. What the protein is	Gating is co-agonist: IP3 alone does not open the channel, and the Ca2+ dependence is biphasic (low activates, high inhibits)	verified	R13;R14;R15	keep as [lit-verified]	Bezprozvanny 1991 is the bell-shaped Ca2+ response; Marchant 1997 showed sequential IP3-then-Ca2+ binding; Alzayady 2016 showed all four IP3-binding sites must be occupied to open the channel.
C05	1. What the protein is	ATP, PKA/PKC phosphorylation, Bcl-2-family proteins, IRBIT and ERp44 all modulate the receptor	verified	R16;R17;R18;R19;R20	keep as [lit-verified]	One primary source per modulator: ATP (Bezprozvanny 1993), PKA phosphorylation (Supattapone 1988), Bcl-2 (Chen 2004), IRBIT (Ando 2003), ERp44 (Higo 2005). PKC was not separately verified and is dropped from the statement.
C06	1. What the protein is	The subunit assembles as a homotetramer (~1.2 MDa) with a large cytosolic mushroom cap over a small membrane domain	verified	R21;R22;R25	keep as [lit-verified]	Maeda 1990 purified the tetrameric complex; Fan 2015 and Baker 2021 are the cryo-EM reconstructions showing the cytosolic cap over the small TM domain. The mass figure needs care: the background document says ~1.2 MDa, the primary structural paper [R22] says 1.3 MDa, and 4 x 2758 aa (Q14643) is ~1.25 MDa. All three are the same number rounded differently; quote 1.3 MDa with [R22] or the arithmetic with the accession, never ~1.2 MDa unattributed.
C07	1. What the protein is	The pore lies between TM5 and TM6 with a short selectivity filter; the C-terminal tail after TM6 runs back up into the cytosolic domain and couples ligand binding to the gate	verified	R22;R23;R24;R25;R50	keep as [lit-verified]	Fan 2015/2018, Paknejad 2018 and Baker 2021 all resolve the TM5-TM6 pore, the selectivity filter and the C-terminal helix returning into the cytosolic domain as the allosteric coupling path.
C08	1. What the protein is	C-terminal variants can be dominant-negative in a tetramer	verified	R44;R48	keep as [lit-verified]	McEntagart 2016 demonstrated a dominant-negative effect for de novo ITPR1 channel-domain variants; Molitor 2024 demonstrated the same for ITPR3 p.Arg2524Cys. Both are C-terminal/pore-proximal.
C09	2. The genes	Loci: ITPR1 3p26.1, ITPR2 12p11.23, ITPR3 6p21.31	upgraded_db	-	retag [lit] -> [db]	Re-derived from Ensembl (release 15.12) in results/s0_baseline/gene_structure.tsv: all three cytogenetic bands confirmed exactly. No longer a literature claim.
C10	2. The genes	Tissue emphasis: ITPR1 cerebellar Purkinje cells and broad; ITPR2 broad, secretory epithelia, glia; ITPR3 epithelial/secretory, pancreas, liver	verified_qualified	R21;R29;R30;R32;R33;R34;R45	keep, mark as qualitative	Supported qualitatively: ITPR1 as the Purkinje-cell P400 antigen (Maeda 1990); subtype tissue distribution (Nakagawa 1991; Ross 1992; Taylor 1999); ITPR2 in secretory sweat-gland epithelium (Klar 2014); ITPR3 in pancreas/liver/biliary epithelium (Mangla 2020). No quantitative expression ranking is asserted; GTEx/HPA quantification is deferred to S12.
C11	2. The genes	Each is a ~58-60 exon gene spanning hundreds of kb	corrected	-	STRIKE and replace with measured values	FALSE as written. Ensembl 15.12 canonical transcripts: ITPR1 62 exons / 354,174 bp; ITPR2 57 exons / 497,888 bp; ITPR3 58 exons / 76,245 bp. The exon range is 57-62, not 58-60, and ITPR3 spans 76 kb - not "hundreds of kb". The 6.5-fold span range across paralogs is itself a finding for S21.
C12	2. The genes	ITPR1 carries the alternatively spliced SI, SII and SIII segments that distinguish neuronal from peripheral isoforms	verified	R29;R30;R31	keep as [lit-verified]	Nakagawa 1991 defined SI and SII in mouse; Danoff 1991 showed the SII-containing neuronal versus non-neuronal forms differ in phosphorylation; Nucifora 1995 identified the third (SIII) spliced segment in human ITPR1.
C13	3. The sister family	The IP3R/RyR split predates animals, and both families descend from a single ancestral Ca2+-release channel	verified	R04;R02;R35;R36;R37	keep as [lit-verified]	Mignery 1989 is the original observation that the IP3R sequence resembles the RyR. Cai 2012 places Ca2+-signalling machinery including both channel families before the animal/fungal divergence; Prole 2011 finds IP3R and RyR homologues in parasitic protists; Mackrill 2012 reviews RyR evolution.
C14	3. The sister family	Both families independently expanded to three vertebrate paralogs	downgraded_open	R32	RETAG [lit] -> [open]	The three-paralog state of each family is a database fact, but the INDEPENDENCE of the two triplications is exactly open question Q2 and has no verified primary source. It is downgraded to [open] and answered by S7/S13/S16. Asserting it as background would make the project's own conclusion an assumption.
C15	5. Disease	ITPR1: heterozygous deletions cause SCA15; missense variants cause SCA29	verified	R38;R39;R40;R41;R42	keep as [lit-verified]	van de Leemput 2007 identified the ITPR1 deletion in SCA15 (and the ataxic mouse); Hara 2008 and Marelli 2011 replicated in independent cohorts; Huang 2012 identified missense variants in congenital non-progressive ataxia (SCA29); Zambonin 2017 is the SCA29 case series.
C16	5. Disease	ITPR1: specific, often C-terminal/pore-proximal variants cause Gillespie syndrome, which behaves as dominant-negative in the tetramer	corrected	R43;R44	AMEND - add the recessive mechanism	Incomplete as written. Gillespie syndrome is caused by BOTH biallelic (recessive) ITPR1 variants and de novo heterozygous variants (Gerber 2016); only the latter act dominant-negatively via the channel domain (McEntagart 2016). Stating only the dominant-negative mechanism omits half the genetics and would misdirect the S17 constraint analysis.
C17	5. Disease	ITPR2: homozygous loss of function causes autosomal recessive isolated anhidrosis	verified_qualified	R45	keep, add precision	Klar 2014 is the sole primary source: one consanguineous family, five affected members, a homozygous MISSENSE variant in the pore-forming region that abolishes Ca2+ release - functionally null, not a null allele. Itpr2-/- mice show reduced sweat secretion. The evidence rests on a single family plus the mouse.
C18	5. Disease	ITPR3: dominant variants are reported in Charcot-Marie-Tooth disease / demyelinating neuropathy	verified	R46;R47;R48;R49;R51	keep as [lit-verified], strengthen	Ronkko 2020 established the gene-disease relationship (CMT1J); Beijer 2025 found the recurrent p.Thr1424Met in 33 individuals from 9 unrelated families; Cabello-Murgui 2024 [R51] added a further family; Hytonen 2025 is a spontaneous canine null. Molitor 2024 extends the phenotype: p.Arg2524Cys also causes a multisystemic immunodeficiency syndrome, so the ITPR3 phenotype is broader than neuropathy alone.
