results_entry	chapter	chapter_title	rule	rule_text	what_it_is	why_not_elsewhere
results/2026-08-18_091322_itpr1_itpr2_itpr3	2	The baseline, and what it could be trusted to say	T2	the instrument is explained where it is first used	S0 app smoke-test bundle, human ITPR1/2/3	Chapter 14 holds the toolchain, but these bundles are the evidence for a claim made in Chapter 2 — that the three public databases answer at all — so they sit with the claim.
results/2026-08-18_092259_itpr1a_itpr1b_itpr2	2	The baseline, and what it could be trusted to say	T2	the instrument is explained where it is first used	S0 app smoke-test bundle, zebrafish	As above; the zebrafish panel is the second half of the same test.
results/2026-08-18_123301_itpr1_itpr2_itpr3	2	The baseline, and what it could be trusted to say	T2	the instrument is explained where it is first used	S0 app smoke-test bundle, re-run after the Ensembl fix	As above; it is the after half of a before/after measurement.
results/2026-08-18_123618_s0_smoke_human	2	The baseline, and what it could be trusted to say	T2	the instrument is explained where it is first used	S0 app smoke-test bundle, human single-gene	As above.
results/annotation_audit	13	An archive that cannot find the gene	T1	one thread of argument, from question to answer	how the family is recorded, and by whom	Chapter 4 measures whether the search found the gene; this chapter measures whether the archive did.
results/annotation_bugs	13	An archive that cannot find the gene	T1	one thread of argument, from question to answer	two annotation failures proved at the exon	Chapter 8 measures exon structure family-wide; these two cases are about what the annotation does with it.
results/benchmark_controls	3	Two families, one architecture	T2	the instrument is explained where it is first used	the S1 positive/negative control benchmark	Chapter 14 collects the negative controls as a body of work; this one is not a constructed unit test but the measurement that established the sister-family margin, so it belongs where the margin is derived.
results/census_v2	3	Two families, one architecture	T2	the instrument is explained where it is first used	the InterPro enumeration and the architecture call	Chapter 5 reports the range the census implies; the call itself is the instrument and is built here.
results/census_v3	3	Two families, one architecture	T1	one thread of argument, from question to answer	the profile sweep merged with the architecture call	Chapter 4 uses census v3 to derive its baits; v3 is where the two instruments are reconciled, which is this chapter's thread.
results/census_v4	4	The vertebrate genomic sweep, and what the search was worth	T2	the instrument is explained where it is first used	census v3 plus the sweep's 1,058 vertebrate gene models	Chapter 13 asks how databases hold those loci; the merge itself is part of the sweep.
