module	task	unit	n_controls	controls
scripts/s10_test_evidence.py	S10	named check	58	T1a touching blocks merge; T1b nested blocks merge; T1c subtract splits a block; T1d subtract to nothing; T1e disjoint count is of merged pieces, not of inputs; T1f overlap of disjoint sets is zero; T2a plus-strand canonical intron reads GT..AG; T2b and is classed canonical; T2c minus-strand canonical intron also reads GT..AG; T2d reading it on the wrong strand is *not* canonical; T3a exon in another gene's intron is not 'in_annotated_cds'; T3b exon inside an annotated CDS block is; T3c exon with no gene at all is intergenic; T4a intron inside one model is 'within_one_model'; T4b intron between two models is 'between_models'; T4c model to nothing is 'model_to_gap'; T4d no annotation at all is 'unannotated'; T5a an HSP inside one exon does not count; T5b an HSP crossing by 1 nt does not count; T5c an HSP crossing by exactly the anchor clears the anchor rule; T5c2 ...but does not count as spanning on its own; T5d hits are counted even when none spans; T5e an HSP covering half the probe does not span; T5f but it is still visible as anchor-only; T5g a hit over the whole probe does span; T6a minus-strand splice starts at the first target block; T6b junction offset is after the first block; T7a a locus a single model covers is not a failure; T7b no model at all is an omission; T7c one partial model is a truncation, and is still a failure; T7d two partial models are fragmentation; T7e a clean locus is eligible; T7f an unannotated assembly fails E1; T7g a partial recovery fails E2; T7h a fragmented assembly fails E3; T7i a marginal contig fails E4; T7j an annotation with a length ceiling fails E5; T8a one case per mode; T8b the two cases are in different genomes; T8c control strength outranks identity at equal loss; T8d selection is order-invariant; T8e an ineligible locus is never selected; T9a a model over its own locus is placed; T9b a model matching a distant locus is not placed; T9c an unplaced model gets no naming verdict; T9d a placed model with the wrong name is a mismatch; T9e a placed model with the right name matches; T9f a locus tag claims no paralog; T10a a shared boundary is counted; T10b a boundary no reference has scores zero; T10c the summary reports the shortfall; T10d a boundary within tolerance still matches; T11a the pseudogene is present; T11b it keeps its CDS blocks; T11c it is flagged pseudo; T11d and it keeps its family name; T11e per-block phase is recorded; T11f the build stamp parses past the '#!' pragma
scripts/s11_test_structures.py	S11	named check	24	T1 second model ignored; T2 altloc; T3 largest chain; T4 round trip; T6 call ignores title; T6 no census row reported; T6 no uniprot reported; T7 core construct rejected; T7 RyR length rejected from ITPR band; T7 RyR accepted in its own band; T7 X-ray rejected; T7 unreadable state rejected; T7 full-length cryo-EM accepted; T8 size-matched control; T9 tie is no_call; T10 normalised by reference; T9 below random bar; T9 clear call agrees; T14 atomic write; T15 failure not cached; T12 identity is a fraction; T13 live pid blocks; T13 dead pid does not block; T13 release clears the lock
scripts/s12_test_expression.py	S12	named check	11	T1 splice concatenates blocks in target order, not coordinate order; T2 a block outside the fetched window raises rather than shortening; T3 colinear placement rejects reversed order and the wrong strand; T4 the frame-aware translation uses phase, not frame 0; T5 junction offsets and classes are matched by coordinate, not index; T6 only within_one_model counts as an annotated junction; T7 a junction whose gap matches no intron is kept, not dropped; T8 CIGAR blocks: soft clips and insertions consume no reference; T9 a junction read needs the anchor on BOTH sides of ONE block; T10 a read touching the junction from one side only is not a span; T11 tissue vocabulary prefers the longest match, not dict order
scripts/s13_test_recon.py	S13	test function	14	t1_speciation_and_duplication; t2_polytomy_duplication; t3_polytomy_speciation; t4_extract_clade_refuses_superset; t5_prune_tips; t6_collapse_refuses_unlabelled; t7_collapse_is_selective; t8_reroot_at; t9_species_key_is_binomial; t10_loss_verdicts; t11_loss_counting; t12_species_tree_check_can_fail; t13_determinism; t14_paralog_sets_match_s7
scripts/s15_test_loss.py	S15	test function	15	t1_union; t2_known_locus_excluded; t3_one_reference_at_a_time; t4_exonic_is_subject_side; t5_tiling_vs_pileup; t6_cyclostome_is_not_a_loss; t7_uncontrolled_genome_supports_nothing; t8_fragmented_assembly_cannot_prove_absence; t9_decoy_excludes_co_shattered_paralogs; t10_calibration_refuses_to_pass_vacuously; t11_youden_reports_non_separation; t12_sign_test_and_bh; t13_spearman_direction; t14_tree_is_a_tree; t15_implied_copies_counts_spares
scripts/s15b_test_counts.py	S15B	named check	21	T0 newick round-trip; T0b unary nodes kept; T1 a single loss is found; T2 sister losses merge into their parent edge; T3 unpinned, a clade-wide absence is ancestral, not a loss; T3b pinned at the root, the same absence is one loss; T4 a polytomy bounds the count rather than fixing it; T4b an all-unknown subtree supports no loss; T5 the recoder reproduces S15a exactly at its own setting; T6 the evidence ladder is monotone; T7 turning D45/D4 off can only manufacture losses; T8 the loss state is still reachable after recoding; T9 an invariant character is refused, not fitted; T10 the refusal rests on a measured profile; T11 a varying character *is* fitted; T12 the fitted optimum beats the boundary; T13 pruning matches the closed form on a two-tip tree; T14 a complete, stop-free locus is not a fossil; T15 a fossil is still findable; T16 the RyR control cannot be a fossil by absence of a state; T17 BH is monotone and never shrinks a p-value
scripts/s16_test_dup.py	S16	named check	21	T1 both halves clear the copy bar on their own; T1 split model merges to one copy; T1 merged record carries both alignments' spans; T1 unmerged the same pair would have been two copies; T2 two complete models 10 kb apart stay two copies; T3 opposite strands do not merge; T3 different contigs do not merge; T4 merge is order-invariant; T6 no ITPR/RyR symbol survives in a window; T6 the non-family neighbours do survive; T7 undated test sees both links; T7 dated test sees only the vertebrate one; T7 the null is built from the same link set; T8 null is non-degenerate and bounded; T8 a window with no paralogs scores 0; T9 nine zinc fingers are one family; T10 BH is monotone, bounded and >= p; T10 BH of an empty family is empty; T12 random blocks agree at about chance; T13 a real shared partition is recovered; T14 binomial tail is exact
scripts/s17_test_constraint.py	S17	test function	14	t1_weights; t2_gaps_are_missing; t3_invariant_beats_uniform; t4_self_transfer; t5_mutated_motif_fails; t6_nesting; t7_every_residue_named; t8_control_has_no_domain; t9_chimera_caught; t10_calibration_refuses; t11_ref_aa_mismatch_dropped; t12_auc; t13_positions_not_alleles; t14_pvalue_formatting
scripts/s18_test_audit.py	S18	named check	42	T1a a perfectly covering gene on the other strand is not a model; T1b the same gene on the locus's own strand is; T1c and the locus is therefore unannotated; T2a a passenger whose CDS is all intronic overlaps no coding block; T2b so the locus reads unannotated, not complete; T4a a 6 bp sliver is not a piece; T4a2 so the locus is not a split; T4b two halves are; T5 a locus with a full model and a redundant one is complete; T6a the small correctly-named model wins over the big unnamed one; T6b with nothing named, the biggest coding model wins; T6c a correctly-named non-coding gene beats an unnamed coding one; T8a the verdict is a pure function of its inputs; T8b the protein audit calls the same function; T9a a RYR3 claim the panel cannot reach is not a naming error; T9b an ITPR2 claim the panel can reach still is; T9c the guard touches nothing else; T10a two baits within D7's margin give no family call; T10b a clear winner does; T10c and the margin is recorded either way; T11a a protist record is not asked its paralog; T11b so its 'type 2' name is not a wrong-paralog error; T11c a vertebrate record is; T12a a full-length InterPro family record is in scope; T13a a 10-locus calibration is refused, not reported; T13b 80 loci are enough; T13c and the bar is the inherited one, not a new one; T13d a locus the annotation is silent about never calibrates it; T14a the vetoed locus is still written; T14b flagged vetoed with its reason; T14c an intact one is not vetoed; T14d and is high priority; T14e below D4's bar it drops to low; T15a a 100-bit family call is a low-priority rename; T15b a 900-bit one is high; T15c a correctly-named record proposes nothing; T16 undecidable_no_genome fires when no assembly is in scope; T19a an empty CDS block list is unscorable, not unannotated; T19b and the flag alone is enough; T17 skipped — no annotation on the drive; T19c skipped — no chunked genome in the archive; T18 skipped — no archived miniprot GFF
scripts/s19_test_methods.py	S19	named check	33	T1a sp| header; T1b tr| header; T1c bare header; T2a model id untouched; T2b isoform stripped; T2c version stripped; T4a unassignable excluded; T4b present cell in the ITPR series; T4c RyR cell is its own series; T5a graded as a negative; T5b counted as a false negative; T6b D4's own bar is on the grid; T6a scope falls as the floor rises; T7 full panel == ledger; T8a no primary locus; T8b no secondary offer without a labelled bait; T8c offered once a labelled bait aligns there; T9 RyR-won locus offered to no ITPR cell; T10a accepted set stops at the bar; T10b whole run when nothing was killed; T11a fires on a drifting run; T11b declines on a stable run; T11c K1 declines on the drifting run too — D10b; T12a both classes reachable; T12b the two populations do not touch; T12c the bar sits in the gap; T13a called is a strict subset of scored; T13b table counts the called set; T14a only the three classes; T14b all three are populated; T15 the suite altered no committed table; T3 empty universe refused; T3 empty universe refused
